order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,payment_method,shipping_method,region,country,order_date,delivery_status,customer_rating,total_amount
ORD-000001,CUST-00103,PROD-0120,Mouse,Furniture,8,1128.41,10,Bank Transfer,Express,Asia,Germany,2025-08-31 21:29:17.405620,Delivered,4,8124.55
ORD-000002,CUST-00436,PROD-0382,Mouse,Electronics,7,323.74,0,Credit Card,Express,South America,Germany,2025-02-14 21:29:17.405655,Processing,5,2266.18
ORD-000003,CUST-00861,PROD-0055,Headphones,Computing,7,1475.25,10,Bank Transfer,Express,North America,USA,2025-09-03 21:29:17.405666,Delivered,3,9294.08
ORD-000004,CUST-00271,PROD-0027,Webcam,Furniture,4,84.09,15,Bank Transfer,Express,South America,UK,2025-11-21 21:29:17.405673,Delivered,5,285.91
ORD-000005,CUST-00107,PROD-0118,Mouse,Accessories,9,526.38,25,Cash,Overnight,South America,France,2025-03-28 21:29:17.405680,Delivered,5,3553.06
ORD-000006,CUST-00072,PROD-0221,Headphones,Computing,2,1393.95,5,PayPal,Express,Asia,USA,2025-09-24 21:29:17.405696,Delivered,5,2648.5
ORD-000007,CUST-00701,PROD-0231,Desk,Accessories,9,518.45,20,Cash,Overnight,Africa,Brazil,2025-09-05 21:29:17.405703,Delivered,4,3732.84
ORD-000008,CUST-00021,PROD-0053,Smartphone,Furniture,3,1460.23,0,Credit Card,Standard,North America,China,2025-04-11 21:29:17.405710,Delivered,5,4380.69
ORD-000009,CUST-00615,PROD-0295,Smartphone,Electronics,2,1991.77,25,Cash,Overnight,North America,USA,2025-04-25 21:29:17.405718,Delivered,4,2987.66
ORD-000010,CUST-00122,PROD-0321,Chair,Electronics,4,1596.2,25,Credit Card,Express,Africa,China,2025-10-28 21:29:17.405726,Delivered,4,4788.6
ORD-000011,CUST-00467,PROD-0401,Desk,Electronics,5,690.25,10,Bank Transfer,Standard,Asia,China,2025-04-26 21:29:17.405733,Delivered,5,3106.12
ORD-000012,CUST-00215,PROD-0233,Chair,Furniture,2,1802.18,0,PayPal,Standard,South America,UK,2025-11-07 21:29:17.405741,Cancelled,4,3604.36
ORD-000013,CUST-00331,PROD-0158,Tablet,Furniture,1,111.85,25,PayPal,Standard,Africa,Germany,2025-11-13 21:29:17.405748,Delivered,4,83.89
ORD-000014,CUST-00459,PROD-0437,Headphones,Accessories,5,1452.76,5,Cash,Express,North America,India,2025-01-16 21:29:17.405788,Processing,5,6900.61
ORD-000015,CUST-00088,PROD-0269,Headphones,Electronics,9,56.41,20,PayPal,Overnight,North America,UK,2025-07-23 21:29:17.405800,Delivered,3,406.15
ORD-000016,CUST-00373,PROD-0021,Smartphone,Furniture,5,357.37,15,Credit Card,Overnight,South America,USA,2025-04-09 21:29:17.405809,In Transit,5,1518.82
ORD-000017,CUST-00100,PROD-0403,Monitor,Computing,9,1975.3,15,Credit Card,Express,South America,China,2025-05-23 21:29:17.405818,Delivered,5,15111.04
ORD-000018,CUST-00872,PROD-0053,Tablet,Furniture,6,728.16,10,Bank Transfer,Express,Europe,UK,2025-08-31 21:29:17.405826,Delivered,4,3932.06
ORD-000019,CUST-00664,PROD-0275,Headphones,Furniture,3,1642.79,25,Cash,Standard,Africa,Germany,2025-06-04 21:29:17.405833,In Transit,3,3696.28
ORD-000020,CUST-00131,PROD-0313,Mouse,Computing,4,758.41,15,Bank Transfer,Overnight,South America,USA,2025-10-17 21:29:17.405840,In Transit,5,2578.59
ORD-000021,CUST-00662,PROD-0281,Smartphone,Electronics,4,1681.66,10,PayPal,Express,Europe,UK,2025-09-29 21:29:17.405847,Cancelled,5,6053.98
ORD-000022,CUST-00309,PROD-0214,Chair,Computing,1,1931.22,20,Bank Transfer,Express,Asia,Brazil,2025-12-04 21:29:17.405855,In Transit,4,1544.98
ORD-000023,CUST-00770,PROD-0031,Desk,Electronics,3,876.72,0,PayPal,Overnight,North America,Brazil,2025-07-12 21:29:17.405862,Delivered,4,2630.16
ORD-000024,CUST-00344,PROD-0337,Chair,Computing,3,1123.1,5,Credit Card,Standard,Africa,France,2025-07-10 21:29:17.405869,Delivered,3,3200.83
ORD-000025,CUST-00492,PROD-0183,Keyboard,Accessories,1,1260.99,20,Cash,Standard,Asia,France,2026-01-05 21:29:17.405876,Delivered,5,1008.79
ORD-000026,CUST-00414,PROD-0023,Monitor,Electronics,9,1870.32,20,Cash,Standard,Africa,India,2025-07-18 21:29:17.405883,Delivered,5,13466.3
ORD-000027,CUST-00806,PROD-0032,Headphones,Furniture,1,520.92,15,Bank Transfer,Overnight,Africa,UK,2025-07-12 21:29:17.405890,In Transit,3,442.78
ORD-000028,CUST-00386,PROD-0446,Webcam,Accessories,9,1226.39,15,PayPal,Express,South America,UK,2025-10-24 21:29:17.405898,Delivered,5,9381.88
ORD-000029,CUST-00192,PROD-0074,Laptop,Electronics,1,656.19,5,Credit Card,Express,Europe,China,2025-07-21 21:29:17.405905,Processing,5,623.38
ORD-000030,CUST-00956,PROD-0010,Monitor,Electronics,2,441.7,0,PayPal,Express,Africa,Brazil,2025-10-12 21:29:17.405912,Delivered,2,883.4
ORD-000031,CUST-00277,PROD-0484,Smartphone,Electronics,2,178.99,20,Bank Transfer,Express,Asia,China,2025-09-20 21:29:17.405919,Delivered,5,286.38
ORD-000032,CUST-00161,PROD-0456,Headphones,Computing,6,1245.21,25,PayPal,Overnight,Africa,Germany,2025-08-07 21:29:17.405926,Delivered,5,5603.44
ORD-000033,CUST-00460,PROD-0054,Desk,Electronics,7,1765.35,15,Credit Card,Standard,Europe,USA,2025-05-14 21:29:17.405933,Delivered,5,10503.83
ORD-000034,CUST-00314,PROD-0052,Headphones,Furniture,1,709.27,20,Bank Transfer,Standard,North America,UK,2025-04-06 21:29:17.405941,In Transit,3,567.42
ORD-000035,CUST-00022,PROD-0148,Laptop,Electronics,3,1109.81,0,Credit Card,Standard,Africa,USA,2025-06-15 21:29:17.405948,Cancelled,4,3329.43
ORD-000036,CUST-00253,PROD-0160,Desk,Furniture,2,1287.85,10,Bank Transfer,Standard,Asia,France,2025-08-15 21:29:17.405955,Delivered,5,2318.13
ORD-000037,CUST-00748,PROD-0370,Chair,Furniture,8,835.15,0,Cash,Express,North America,USA,2025-08-01 21:29:17.405962,In Transit,2,6681.2
ORD-000038,CUST-00857,PROD-0014,Desk,Furniture,9,1807.66,20,PayPal,Express,North America,Japan,2025-08-24 21:29:17.405969,Delivered,4,13015.15
ORD-000039,CUST-00561,PROD-0178,Monitor,Accessories,2,731.88,20,Credit Card,Overnight,South America,Brazil,2025-12-20 21:29:17.405976,Cancelled,4,1171.01
ORD-000040,CUST-00475,PROD-0412,Chair,Furniture,2,258.77,5,Credit Card,Standard,South America,Germany,2025-06-28 21:29:17.405983,Delivered,5,491.66
ORD-000041,CUST-00059,PROD-0366,Headphones,Computing,9,296.6,20,PayPal,Express,Africa,Brazil,2025-05-26 21:29:17.405990,Delivered,4,2135.52
ORD-000042,CUST-00511,PROD-0053,Smartphone,Electronics,4,1782.81,15,Credit Card,Express,Asia,Germany,2026-01-10 21:29:17.405997,Delivered,5,6061.55
ORD-000043,CUST-00682,PROD-0408,Tablet,Computing,5,1976.14,25,Credit Card,Express,South America,India,2025-04-01 21:29:17.406004,Delivered,4,7410.52
ORD-000044,CUST-00476,PROD-0335,Smartphone,Accessories,9,584.99,5,Credit Card,Standard,Europe,USA,2025-07-25 21:29:17.406012,Delivered,5,5001.66
ORD-000045,CUST-00700,PROD-0022,Headphones,Electronics,6,295.77,20,Cash,Express,Europe,India,2025-07-14 21:29:17.406019,Delivered,4,1419.7
ORD-000046,CUST-00976,PROD-0030,Laptop,Furniture,9,969.6,0,Credit Card,Standard,North America,India,2025-05-08 21:29:17.406026,Delivered,4,8726.4
ORD-000047,CUST-00783,PROD-0191,Tablet,Electronics,9,1421.96,20,Cash,Standard,North America,Germany,2025-03-29 21:29:17.406033,Delivered,3,10238.11
ORD-000048,CUST-00190,PROD-0260,Headphones,Accessories,7,1228.68,0,PayPal,Overnight,North America,USA,2025-04-03 21:29:17.406040,In Transit,5,8600.76
ORD-000049,CUST-00958,PROD-0205,Webcam,Accessories,9,1902.71,0,Cash,Overnight,Europe,USA,2025-01-20 21:29:17.406047,In Transit,4,17124.39
ORD-000050,CUST-00687,PROD-0059,Monitor,Computing,5,1637.38,20,Credit Card,Standard,South America,France,2025-09-24 21:29:17.406054,Processing,5,6549.52
ORD-000051,CUST-00958,PROD-0471,Webcam,Electronics,5,1739.25,0,Credit Card,Standard,South America,Brazil,2025-03-15 21:29:17.406061,Delivered,5,8696.25
ORD-000052,CUST-00563,PROD-0264,Chair,Electronics,8,1087.92,25,Credit Card,Standard,Africa,India,2025-01-29 21:29:17.406068,Delivered,2,6527.52
ORD-000053,CUST-00876,PROD-0466,Keyboard,Electronics,4,661.28,10,Cash,Express,Asia,USA,2025-02-09 21:29:17.406075,Delivered,5,2380.61
ORD-000054,CUST-00567,PROD-0012,Headphones,Computing,9,1406.45,5,Bank Transfer,Express,Europe,Germany,2025-09-06 21:29:17.406083,Delivered,3,12025.15
ORD-000055,CUST-00244,PROD-0119,Mouse,Accessories,7,883.72,20,Bank Transfer,Express,North America,India,2025-07-11 21:29:17.406090,Delivered,5,4948.83
ORD-000056,CUST-00832,PROD-0415,Mouse,Furniture,7,582.63,10,PayPal,Overnight,Asia,Japan,2025-12-16 21:29:17.406097,Delivered,3,3670.57
ORD-000057,CUST-00505,PROD-0462,Desk,Electronics,3,313.02,0,PayPal,Standard,North America,UK,2025-08-09 21:29:17.406104,Delivered,5,939.06
ORD-000058,CUST-00131,PROD-0290,Smartphone,Computing,4,1060.47,0,PayPal,Express,Asia,Germany,2025-05-24 21:29:17.406110,Delivered,5,4241.88
ORD-000059,CUST-00485,PROD-0338,Smartphone,Computing,7,1192.56,5,Credit Card,Express,Asia,Japan,2025-04-11 21:29:17.406118,Delivered,4,7930.52
ORD-000060,CUST-00819,PROD-0248,Smartphone,Furniture,5,1141.88,10,Bank Transfer,Overnight,South America,Germany,2025-10-04 21:29:17.406125,Cancelled,4,5138.46
ORD-000061,CUST-00647,PROD-0354,Webcam,Accessories,3,241.93,10,Bank Transfer,Overnight,Africa,Japan,2025-06-03 21:29:17.406132,Cancelled,3,653.21
ORD-000062,CUST-00021,PROD-0127,Monitor,Electronics,1,1144.27,20,PayPal,Standard,Africa,Germany,2025-04-14 21:29:17.406139,Delivered,5,915.42
ORD-000063,CUST-00841,PROD-0075,Headphones,Electronics,7,345.14,0,Bank Transfer,Standard,North America,UK,2025-02-25 21:29:17.406146,Delivered,3,2415.98
ORD-000064,CUST-00167,PROD-0361,Laptop,Computing,6,1330.79,15,PayPal,Express,Europe,India,2025-05-27 21:29:17.406153,Processing,4,6787.03
ORD-000065,CUST-00274,PROD-0204,Desk,Accessories,7,864.47,20,Credit Card,Express,Africa,France,2025-02-06 21:29:17.406159,Processing,3,4841.03
ORD-000066,CUST-00388,PROD-0049,Chair,Electronics,2,1699.09,20,Bank Transfer,Express,Europe,France,2025-04-15 21:29:17.406167,Processing,5,2718.54
ORD-000067,CUST-00601,PROD-0079,Tablet,Furniture,4,1558.75,20,Credit Card,Express,North America,UK,2025-01-14 21:29:17.406174,Delivered,4,4988.0
ORD-000068,CUST-00316,PROD-0441,Chair,Accessories,2,1451.52,5,Credit Card,Express,Europe,Germany,2025-09-23 21:29:17.406181,Delivered,3,2757.89
ORD-000069,CUST-00014,PROD-0479,Headphones,Accessories,8,1404.47,5,Bank Transfer,Overnight,Asia,Brazil,2025-08-28 21:29:17.406188,Delivered,5,10673.97
ORD-000070,CUST-00242,PROD-0241,Keyboard,Computing,7,1125.37,20,Cash,Standard,Asia,Japan,2025-06-12 21:29:17.406195,Processing,5,6302.07
ORD-000071,CUST-00777,PROD-0349,Smartphone,Computing,1,131.62,25,PayPal,Overnight,North America,USA,2025-03-06 21:29:17.406202,Processing,5,98.72
ORD-000072,CUST-00346,PROD-0154,Tablet,Electronics,2,1314.42,15,Bank Transfer,Standard,Europe,Germany,2025-04-15 21:29:17.406209,Delivered,4,2234.51
ORD-000073,CUST-00565,PROD-0274,Webcam,Computing,2,939.18,10,Credit Card,Standard,Europe,UK,2025-02-20 21:29:17.406215,Delivered,4,1690.52
ORD-000074,CUST-00898,PROD-0096,Headphones,Accessories,4,944.41,10,PayPal,Standard,North America,China,2025-01-30 21:29:17.406223,Delivered,2,3399.88
ORD-000075,CUST-00340,PROD-0214,Keyboard,Electronics,3,764.25,0,Credit Card,Overnight,Africa,France,2025-07-14 21:29:17.406230,In Transit,3,2292.75
ORD-000076,CUST-00092,PROD-0294,Webcam,Electronics,1,1858.85,10,PayPal,Express,South America,France,2025-03-08 21:29:17.406236,In Transit,4,1672.96
ORD-000077,CUST-00367,PROD-0209,Keyboard,Accessories,2,506.41,10,Bank Transfer,Standard,Africa,India,2025-07-04 21:29:17.406243,Delivered,5,911.54
ORD-000078,CUST-00956,PROD-0343,Smartphone,Electronics,9,640.02,15,Credit Card,Standard,South America,Germany,2025-04-10 21:29:17.406253,Delivered,5,4896.15
ORD-000079,CUST-00455,PROD-0088,Webcam,Furniture,1,1926.45,10,PayPal,Overnight,Europe,Japan,2025-04-17 21:29:17.406260,Delivered,5,1733.8
