transaction_id,account_id,transaction_type,amount,currency,merchant_category,transaction_date,is_international,fraud_score,status
TXN-00000001,ACC-94021,Payment,30773.65,EUR,Restaurant,2025-10-07 21:29:17.732687,False,0.561,Completed
TXN-00000002,ACC-12253,Transfer,1890.64,USD,Restaurant,2025-08-15 21:29:17.732708,False,0.678,Completed
TXN-00000003,ACC-42358,Withdrawal,21360.29,USD,Utilities,2025-12-20 21:29:17.732716,True,0.137,Completed
TXN-00000004,ACC-18724,Transfer,4090.48,USD,Restaurant,2025-08-16 21:29:17.732720,False,0.122,Pending
TXN-00000005,ACC-58987,Withdrawal,48183.63,USD,Restaurant,2025-10-08 21:29:17.732725,True,0.164,Completed
TXN-00000006,ACC-95453,Withdrawal,7504.47,USD,Utilities,2025-10-27 21:29:17.732730,False,0.564,Completed
TXN-00000007,ACC-41522,Withdrawal,15191.58,USD,Utilities,2026-01-03 21:29:17.732735,False,0.26,Failed
TXN-00000008,ACC-90038,Withdrawal,13181.65,USD,Retail,2025-11-19 21:29:17.732739,False,0.605,Pending
TXN-00000009,ACC-69566,Withdrawal,15729.17,USD,Online,2025-08-04 21:29:17.732743,False,0.506,Completed
TXN-00000010,ACC-18641,Transfer,22185.31,EUR,Entertainment,2025-11-20 21:29:17.732748,True,0.396,Completed
TXN-00000011,ACC-45094,Withdrawal,13253.36,EUR,Online,2025-11-20 21:29:17.732785,True,0.028,Completed
TXN-00000012,ACC-61875,Transfer,18837.44,USD,Restaurant,2025-11-01 21:29:17.732795,False,0.816,Completed
TXN-00000013,ACC-57872,Deposit,13343.77,EUR,Utilities,2026-01-11 21:29:17.732801,False,0.067,Completed
TXN-00000014,ACC-40819,Payment,48823.21,JPY,Utilities,2025-10-15 21:29:17.732807,False,0.652,Pending
TXN-00000015,ACC-33115,Transfer,14417.32,USD,Healthcare,2026-01-04 21:29:17.732814,False,0.362,Completed
TXN-00000016,ACC-68610,Deposit,15154.45,USD,Entertainment,2025-08-29 21:29:17.732818,False,0.728,Completed
TXN-00000017,ACC-82789,Withdrawal,18524.6,JPY,Healthcare,2026-01-13 21:29:17.732822,True,0.275,Completed
TXN-00000018,ACC-31563,Payment,31474.67,EUR,Restaurant,2025-11-02 21:29:17.732827,False,0.355,Completed
TXN-00000019,ACC-31045,Payment,48506.19,USD,Utilities,2025-09-23 21:29:17.732832,False,0.981,Completed
TXN-00000020,ACC-16692,Transfer,29414.3,GBP,Online,2025-08-12 21:29:17.732836,False,0.388,Completed
TXN-00000021,ACC-89767,Payment,49220.19,USD,Restaurant,2025-12-14 21:29:17.732840,False,0.612,Completed
TXN-00000022,ACC-48981,Transfer,17314.86,USD,Travel,2026-01-07 21:29:17.732845,False,0.95,Completed
TXN-00000023,ACC-87763,Deposit,46019.07,GBP,Travel,2025-07-31 21:29:17.732849,False,0.709,Completed
