device_id,sensor_type,location,floor,reading_value,unit,timestamp,battery_level,signal_strength,status
IOT-010,Temperature,Building C,2,90.94,Celsius,2025-12-21 18:29:17.570606,12,-40,Active
IOT-097,Motion,Warehouse,9,24.06,Pascal,2025-12-20 12:29:17.570625,61,-79,Active
IOT-036,Motion,Building B,4,79.1,Boolean,2026-01-05 09:29:17.570633,40,-87,Active
IOT-042,Motion,Warehouse,1,61.21,Percent,2026-01-04 03:29:17.570638,44,-55,Active
IOT-099,Motion,Building C,2,84.42,Celsius,2025-12-26 14:29:17.570643,59,-90,Active
IOT-048,Temperature,Building A,8,41.89,Celsius,2025-12-26 09:29:17.570648,85,-56,Active
IOT-018,Pressure,Building C,9,55.98,Boolean,2026-01-08 02:29:17.570653,98,-39,Active
IOT-089,Temperature,Warehouse,5,85.01,Percent,2025-12-15 20:29:17.570657,32,-55,Active
IOT-076,Humidity,Building C,4,85.7,Percent,2025-12-24 08:29:17.570662,90,-46,Active
IOT-060,Temperature,Building C,10,46.96,Pascal,2026-01-10 21:29:17.570667,74,-72,Active
IOT-028,Humidity,Building B,7,84.89,Celsius,2025-12-31 11:29:17.570671,90,-67,Active
IOT-053,Temperature,Building A,2,73.0,Percent,2026-01-08 22:29:17.570676,68,-85,Active
IOT-009,Motion,Warehouse,7,49.8,Boolean,2026-01-08 15:29:17.570681,44,-43,Active
IOT-024,Motion,Warehouse,9,97.42,Celsius,2026-01-09 16:29:17.570686,72,-80,Active
IOT-020,Pressure,Building B,2,17.63,Boolean,2026-01-04 08:29:17.570690,27,-39,Active
IOT-090,Motion,Building C,8,47.53,Celsius,2025-12-26 12:29:17.570694,19,-89,Active
IOT-069,Temperature,Warehouse,6,41.09,Celsius,2026-01-04 22:29:17.570699,56,-77,Active
IOT-027,Humidity,Building B,6,94.54,Pascal,2025-12-19 19:29:17.570704,42,-51,Active
IOT-092,Pressure,Warehouse,4,23.45,Boolean,2026-01-08 04:29:17.570708,15,-44,Active
IOT-040,Pressure,Building B,9,68.38,Boolean,2025-12-25 18:29:17.570713,30,-31,Active
IOT-071,Temperature,Building B,8,75.91,Boolean,2025-12-17 12:29:17.570717,56,-49,Active
IOT-083,Temperature,Building A,7,30.65,Celsius,2025-12-29 18:29:17.570722,39,-77,Active
IOT-054,Motion,Building A,5,27.75,Pascal,2025-12-29 12:29:17.570726,99,-47,Active
IOT-086,Motion,Building C,5,19.07,Boolean,2025-12-29 01:29:17.570731,80,-40,Active
IOT-082,Motion,Building B,2,28.5,Boolean,2025-12-16 07:29:17.570735,30,-45,Active
IOT-015,Pressure,Warehouse,5,83.7,Boolean,2026-01-11 19:29:17.570740,54,-32,Active
IOT-097,Pressure,Building C,3,95.24,Celsius,2026-01-12 10:29:17.570745,59,-57,Active
IOT-051,Humidity,Building B,7,91.62,Pascal,2025-12-15 09:29:17.570749,12,-90,Active
