session_id,user_id,page_views,session_duration,bounce_rate,device_type,browser,os,traffic_source,landing_page,conversion,timestamp,country
SES-00000001,USER-01270,11,2900,0.722,Desktop,Edge,MacOS,Direct,/home,False,2026-01-10 06:29:17.977664,USA
SES-00000002,USER-00733,33,726,0.114,Tablet,Firefox,Android,Direct,/about,False,2025-12-21 21:29:17.977687,USA
SES-00000003,USER-00584,10,871,0.105,Mobile,Edge,MacOS,Organic,/contact,False,2026-01-08 15:29:17.977695,Japan
SES-00000004,USER-01579,47,1751,0.577,Desktop,Safari,Windows,Paid,/blog,False,2026-01-11 20:29:17.977700,India
SES-00000005,USER-00046,9,2427,0.003,Mobile,Edge,Windows,Direct,/contact,False,2025-12-19 05:29:17.977705,India
SES-00000006,USER-00756,34,3313,0.923,Mobile,Firefox,Android,Social,/products,False,2025-12-29 01:29:17.977710,France
SES-00000007,USER-03862,6,65,0.78,Tablet,Safari,Linux,Referral,/home,True,2025-12-27 04:29:17.977715,France
SES-00000008,USER-04402,9,653,0.304,Desktop,Chrome,Windows,Paid,/blog,False,2026-01-09 23:29:17.977720,Germany
SES-00000009,USER-04515,5,3498,0.718,Desktop,Edge,Windows,Social,/home,False,2026-01-03 08:29:17.977725,Germany
SES-00000010,USER-03273,7,98,0.371,Desktop,Chrome,iOS,Paid,/home,False,2025-12-25 22:29:17.977730,France
SES-00000011,USER-02046,4,2481,0.15,Desktop,Edge,Linux,Paid,/about,False,2026-01-06 08:29:17.977735,Canada
SES-00000012,USER-03983,6,943,0.806,Desktop,Chrome,MacOS,Referral,/contact,False,2025-12-21 20:29:17.977740,France
SES-00000013,USER-04960,40,1905,0.794,Desktop,Chrome,Windows,Social,/contact,True,2026-01-05 08:29:17.977745,USA
SES-00000014,USER-02482,33,1950,0.908,Mobile,Edge,Android,Referral,/blog,False,2026-01-13 11:29:17.977750,France
SES-00000015,USER-04006,30,424,0.417,Mobile,Safari,MacOS,Paid,/blog,False,2025-12-15 08:29:17.977791,USA
SES-00000016,USER-03580,19,2370,0.735,Mobile,Safari,Android,Referral,/home,False,2026-01-04 01:29:17.977799,France
SES-00000017,USER-04471,46,2625,0.144,Desktop,Safari,MacOS,Referral,/blog,False,2026-01-11 23:29:17.977804,India
SES-00000018,USER-00359,18,264,0.58,Desktop,Edge,Windows,Referral,/blog,False,2026-01-04 05:29:17.977809,Japan
SES-00000019,USER-00829,24,3059,0.113,Desktop,Edge,iOS,Social,/about,False,2025-12-31 20:29:17.977814,India
SES-00000020,USER-03305,2,2571,0.173,Mobile,Chrome,Android,Direct,/contact,False,2026-01-10 09:29:17.977819,Germany
SES-00000021,USER-02960,43,1155,0.94,Mobile,Firefox,Linux,Organic,/home,False,2025-12-28 07:29:17.977823,France
SES-00000022,USER-02368,38,2311,0.535,Desktop,Edge,Linux,Organic,/products,False,2025-12-21 01:29:17.977828,Germany
SES-00000023,USER-03640,24,728,0.469,Desktop,Firefox,iOS,Organic,/home,False,2026-01-04 01:29:17.977833,Japan
SES-00000024,USER-03723,5,3122,0.873,Mobile,Firefox,MacOS,Referral,/products,True,2026-01-02 14:29:17.977837,USA
SES-00000025,USER-02668,40,1945,0.609,Desktop,Firefox,MacOS,Social,/blog,False,2025-12-27 16:29:17.977842,Japan
SES-00000026,USER-02391,33,3313,0.938,Desktop,Firefox,iOS,Organic,/about,False,2025-12-16 08:29:17.977847,India
SES-00000027,USER-01385,43,1636,0.276,Desktop,Chrome,Windows,Direct,/contact,False,2025-12-24 12:29:17.977852,India
SES-00000028,USER-00076,43,1829,0.923,Mobile,Firefox,Linux,Paid,/products,False,2025-12-20 09:29:17.977857,USA
SES-00000029,USER-02909,40,708,0.495,Mobile,Chrome,MacOS,Direct,/about,False,2026-01-08 22:29:17.977862,Japan
SES-00000030,USER-02595,32,3054,0.724,Mobile,Edge,iOS,Social,/home,False,2025-12-28 23:29:17.977866,UK
SES-00000031,USER-03601,31,877,0.384,Mobile,Safari,Android,Social,/home,False,2025-12-24 04:29:17.977871,UK
SES-00000032,USER-01131,29,275,0.91,Desktop,Firefox,Linux,Direct,/contact,False,2025-12-18 02:29:17.977876,USA
SES-00000033,USER-00560,2,3410,0.234,Mobile,Safari,Windows,Organic,/blog,False,2026-01-03 03:29:17.977880,Canada
SES-00000034,USER-03639,43,2998,0.283,Desktop,Firefox,Linux,Direct,/about,False,2026-01-04 17:29:17.977886,France
SES-00000035,USER-00189,28,2503,0.81,Mobile,Edge,iOS,Referral,/blog,False,2025-12-20 01:29:17.977891,USA
SES-00000036,USER-01895,8,3213,0.941,Mobile,Edge,iOS,Referral,/contact,False,2025-12-27 21:29:17.977895,UK
SES-00000037,USER-04879,2,2485,0.652,Desktop,Edge,MacOS,Referral,/blog,False,2025-12-19 10:29:17.977900,Japan
SES-00000038,USER-01290,3,1729,0.089,Desktop,Chrome,Windows,Referral,/contact,False,2025-12-25 03:29:17.977905,India
SES-00000039,USER-04326,26,1050,0.999,Desktop,Chrome,MacOS,Social,/contact,False,2026-01-11 07:29:17.977910,Canada
SES-00000040,USER-00374,30,71,0.934,Desktop,Firefox,Windows,Social,/blog,False,2026-01-10 16:29:17.977914,Japan
SES-00000041,USER-02497,28,3205,0.075,Desktop,Firefox,iOS,Organic,/home,True,2026-01-02 04:29:17.977919,Canada
SES-00000042,USER-04576,20,1246,0.232,Mobile,Edge,Linux,Organic,/home,False,2026-01-02 09:29:17.977925,Japan
SES-00000043,USER-01405,41,3074,0.808,Tablet,Edge,iOS,Referral,/home,False,2025-12-30 04:29:17.977930,USA
SES-00000044,USER-01198,43,2686,0.459,Desktop,Chrome,MacOS,Paid,/products,True,2026-01-01 07:29:17.977934,Japan
SES-00000045,USER-01944,5,1916,0.009,Desktop,Firefox,Android,Organic,/contact,True,2025-12-23 09:29:17.977939,USA
SES-00000046,USER-04514,18,659,0.294,Desktop,Edge,Linux,Organic,/contact,False,2025-12-15 13:29:17.977944,USA
SES-00000047,USER-01553,13,1013,0.331,Mobile,Chrome,iOS,Referral,/blog,False,2025-12-29 16:29:17.977948,France
SES-00000048,USER-02175,28,3023,0.244,Desktop,Edge,Android,Organic,/blog,False,2025-12-30 12:29:17.977953,Canada
SES-00000049,USER-04479,4,2335,0.933,Desktop,Safari,MacOS,Social,/about,False,2025-12-17 06:29:17.977958,UK
SES-00000050,USER-03378,48,339,0.073,Mobile,Safari,MacOS,Referral,/contact,False,2025-12-16 21:29:17.977962,Japan
SES-00000051,USER-01244,4,2447,0.858,Desktop,Firefox,Android,Organic,/products,True,2026-01-01 04:29:17.977967,USA
SES-00000052,USER-00882,28,3438,0.484,Desktop,Edge,Android,Paid,/products,False,2025-12-15 20:29:17.977972,UK
SES-00000053,USER-02982,44,1522,0.441,Mobile,Firefox,Android,Social,/about,False,2026-01-10 18:29:17.977976,Canada
SES-00000054,USER-00367,38,2019,0.072,Mobile,Firefox,MacOS,Social,/blog,False,2026-01-10 16:29:17.977982,France
SES-00000055,USER-04690,10,833,0.211,Mobile,Firefox,iOS,Social,/home,False,2025-12-16 00:29:17.977987,France
SES-00000056,USER-04127,4,2475,0.21,Tablet,Chrome,Linux,Referral,/about,False,2025-12-20 14:29:17.977992,USA
SES-00000057,USER-04254,28,3308,0.408,Mobile,Edge,iOS,Referral,/blog,False,2025-12-28 23:29:17.977996,UK
SES-00000058,USER-03407,32,780,0.24,Desktop,Edge,iOS,Paid,/home,False,2025-12-25 12:29:17.978001,UK
SES-00000059,USER-03980,3,1586,0.999,Desktop,Chrome,Linux,Referral,/about,False,2026-01-01 01:29:17.978006,Canada
SES-00000060,USER-03738,42,3060,0.221,Desktop,Edge,iOS,Organic,/about,False,2025-12-15 00:29:17.978011,Japan
SES-00000061,USER-01792,10,3397,0.352,Desktop,Safari,Android,Direct,/home,False,2025-12-26 07:29:17.978015,Germany
SES-00000062,USER-00385,32,3186,0.694,Mobile,Safari,MacOS,Paid,/about,False,2026-01-08 04:29:17.978020,USA
SES-00000063,USER-03757,3,2453,0.302,Mobile,Safari,Android,Referral,/home,False,2026-01-13 11:29:17.978025,UK
SES-00000064,USER-02106,29,3388,0.044,Tablet,Firefox,Linux,Direct,/products,False,2026-01-06 20:29:17.978029,India
SES-00000065,USER-02666,19,1231,0.861,Mobile,Firefox,Windows,Paid,/about,False,2025-12-16 20:29:17.978034,USA
SES-00000066,USER-00021,45,1383,0.382,Mobile,Safari,Windows,Direct,/about,False,2026-01-04 00:29:17.978039,UK
SES-00000067,USER-03761,48,3559,0.455,Tablet,Safari,Windows,Referral,/contact,True,2025-12-19 22:29:17.978044,France
SES-00000068,USER-00493,15,2016,0.787,Desktop,Chrome,MacOS,Paid,/about,False,2025-12-22 20:29:17.978049,India
SES-00000069,USER-00822,7,2217,0.775,Mobile,Chrome,Android,Direct,/blog,False,2026-01-08 07:29:17.978053,UK
SES-00000070,USER-01288,44,2324,0.879,Desktop,Firefox,MacOS,Direct,/products,False,2025-12-22 03:29:17.978058,India
SES-00000071,USER-00989,4,111,0.778,Mobile,Chrome,MacOS,Direct,/contact,False,2025-12-15 21:29:17.978063,Germany
SES-00000072,USER-01146,1,766,0.677,Tablet,Safari,Linux,Social,/about,False,2026-01-10 16:29:17.978068,Japan
SES-00000073,USER-02208,40,2480,0.603,Desktop,Firefox,Android,Social,/blog,False,2026-01-06 11:29:17.978073,UK
SES-00000074,USER-00463,33,1950,0.695,Desktop,Safari,iOS,Referral,/products,True,2026-01-03 09:29:17.978078,Japan
SES-00000075,USER-03620,21,3280,0.737,Mobile,Edge,MacOS,Direct,/blog,False,2025-12-27 09:29:17.978083,Canada
SES-00000076,USER-02715,19,1150,0.006,Desktop,Chrome,Windows,Paid,/about,False,2026-01-03 03:29:17.978088,Canada
SES-00000077,USER-00234,14,3407,0.066,Desktop,Edge,Windows,Organic,/blog,True,2025-12-29 02:29:17.978093,Japan
SES-00000078,USER-03603,20,2585,0.693,Tablet,Edge,MacOS,Paid,/blog,False,2025-12-18 17:29:17.978099,USA
SES-00000079,USER-02550,24,2183,0.317,Desktop,Edge,Linux,Direct,/about,True,2025-12-22 01:29:17.978104,UK
SES-00000080,USER-04664,18,3157,0.76,Desktop,Firefox,Linux,Organic,/contact,False,2025-12-31 12:29:17.978109,USA
SES-00000081,USER-00137,15,2747,0.619,Desktop,Chrome,Linux,Direct,/about,False,2025-12-17 01:29:17.978114,USA
SES-00000082,USER-04033,3,663,0.044,Desktop,Safari,Windows,Social,/about,False,2025-12-29 19:29:17.978119,France
SES-00000083,USER-00195,3,795,0.009,Mobile,Safari,iOS,Organic,/about,False,2025-12-15 16:29:17.978124,Germany
SES-00000084,USER-04302,16,1665,0.197,Mobile,Safari,Linux,Social,/products,False,2026-01-12 08:29:17.978130,Germany
SES-00000085,USER-04514,31,3181,0.207,Tablet,Firefox,Linux,Social,/blog,False,2025-12-23 01:29:17.978135,France
SES-00000086,USER-01443,34,1537,0.987,Desktop,Firefox,Linux,Paid,/contact,False,2025-12-19 06:29:17.978140,Germany
SES-00000087,USER-01442,10,2355,0.256,Desktop,Firefox,Android,Referral,/blog,False,2025-12-22 18:29:17.978145,UK
SES-00000088,USER-02036,10,534,0.623,Desktop,Safari,Windows,Organic,/contact,False,2025-12-18 16:29:17.978150,India
SES-00000089,USER-03743,1,1959,0.461,Desktop,Safari,Linux,Paid,/blog,False,2026-01-12 12:29:17.978155,India
SES-00000090,USER-02330,26,981,0.867,Desktop,Chrome,Android,Organic,/contact,False,2026-01-04 11:29:17.978160,Germany
SES-00000091,USER-00625,21,2224,0.048,Mobile,Firefox,Windows,Social,/blog,False,2025-12-29 23:29:17.978165,France
SES-00000092,USER-03715,36,898,0.013,Desktop,Edge,MacOS,Organic,/blog,False,2026-01-08 22:29:17.978170,Japan
SES-00000093,USER-02700,44,1451,0.138,Desktop,Firefox,Windows,Direct,/blog,False,2025-12-29 09:29:17.978175,UK
